sensor_name,exgauster_number,path,prop_name,type
moment,-1,,moment,datetime
SM_Exgauster\\[6:0],-1,/sinter/0,underpressure,analog
SM_Exgauster\\[6:1],-1,/sinter/0,temperature,analog
SM_Exgauster\\[6:2],-1,/sinter/0,speed,analog
SM_Exgauster\\[6.0],-1,/sinter/0,is_working,digital
SM_Exgauster\\[7:0],-1,/sinter/1,underpressure,analog
SM_Exgauster\\[7:1],-1,/sinter/1,temperature,analog
SM_Exgauster\\[7:2],-1,/sinter/1,speed,analog
SM_Exgauster\\[7.0],-1,/sinter/1,is_working,digital
SM_Exgauster\\[8:0],-1,/sinter/2,underpressure,analog
SM_Exgauster\\[8:1],-1,/sinter/2,temperature,analog
SM_Exgauster\\[8:2],-1,/sinter/2,speed,analog
SM_Exgauster\\[8.0],-1,/sinter/2,is_working,digital
SM_Exgauster\\[2:27],0,/bearing/0/heating_temperature,temperature,analog
SM_Exgauster\\[2:65],0,/bearing/0/heating_temperature,alarm_max,analog
SM_Exgauster\\[2:74],0,/bearing/0/heating_temperature,alarm_min,analog
SM_Exgauster\\[2:83],0,/bearing/0/heating_temperature,warning_max,analog
SM_Exgauster\\[2:92],0,/bearing/0/heating_temperature,warning_min,analog
SM_Exgauster\\[2:2],0,/bearing/0/vibration/axial,value,analog
SM_Exgauster\\[2:139],0,/bearing/0/vibration/axial,alarm_max,analog
SM_Exgauster\\[2:151],0,/bearing/0/vibration/axial,alarm_min,analog
SM_Exgauster\\[2:163],0,/bearing/0/vibration/axial,warning_max,analog
SM_Exgauster\\[2:175],0,/bearing/0/vibration/axial,warning_min,analog
SM_Exgauster\\[2:0],0,/bearing/0/vibration/horizontal,value,analog
SM_Exgauster\\[2:137],0,/bearing/0/vibration/horizontal,alarm_max,analog
SM_Exgauster\\[2:149],0,/bearing/0/vibration/horizontal,alarm_min,analog
SM_Exgauster\\[2:161],0,/bearing/0/vibration/horizontal,warning_max,analog
SM_Exgauster\\[2:173],0,/bearing/0/vibration/horizontal,warning_min,analog
SM_Exgauster\\[2:1],0,/bearing/0/vibration/vertical,value,analog
SM_Exgauster\\[2:138],0,/bearing/0/vibration/vertical,alarm_max,analog
SM_Exgauster\\[2:150],0,/bearing/0/vibration/vertical,alarm_min,analog
SM_Exgauster\\[2:162],0,/bearing/0/vibration/vertical,warning_max,analog
SM_Exgauster\\[2:174],0,/bearing/0/vibration/vertical,warning_min,analog
SM_Exgauster\\[2:28],0,/bearing/1/heating_temperature,temperature,analog
SM_Exgauster\\[2:66],0,/bearing/1/heating_temperature,alarm_max,analog
SM_Exgauster\\[2:75],0,/bearing/1/heating_temperature,alarm_min,analog
SM_Exgauster\\[2:84],0,/bearing/1/heating_temperature,warning_max,analog
SM_Exgauster\\[2:93],0,/bearing/1/heating_temperature,warning_min,analog
